ID	RoofID	RoofName	Veg_Type	Species 	Genus	Family	Life_form	Roof_age	Age
MR_11_P7	MR_11	Linda_Tool	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2008	2004-2008
MR_11_P9	MR_11	Linda_Tool	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2008	2004-2008
MR_14_P8	MR_14	Lost_Battalion	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_2_T2_2	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2012	2009-2012
MR_2_T2_3	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2012	2009-2012
MR_2_T3_2	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2012	2009-2012
MR_2_T3_3	MR_2	Greenwich_Village_Elementary	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2012	2009-2012
MR_20_T1_1	MR_20	Saint_Marys	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_20_T3_2	MR_20	Saint_Marys	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_21_P1	MR_21	Saint_Simon_Stock	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2017	2013-2017
MR_3_T1_1	MR_3	Chelsea	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_3_T1_3	MR_3	Chelsea	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_3_T2_1	MR_3	Chelsea	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_3_T2_2	MR_3	Chelsea	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_3_T2_3	MR_3	Chelsea	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_3_T3_1	MR_3	Chelsea	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
MR_3_T3_2	MR_3	Chelsea	Mixed_vegetation	Erigeron annuus	Erigeron	Asteraceae	Forb	2010	2009-2012
