ID	RoofID	RoofName	Veg_Type	Species 	Genus	Family	Life_form	Roof_age	Age
SR_3_T1_1	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T1_2	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T1_3	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T2_1	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T2_2	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T2_3	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T3_1	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T3_2	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_3_T3_3	SR_3	Javits	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2014	2013-2017
SR_4_T1_1	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T1_2	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T1_3	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T2_1	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T2_2	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T2_3	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T3_1	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T3_2	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_4_T3_3	SR_4	Fieldston_Sedum	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2007	2004-2008
SR_5_T1_1	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T1_2	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T1_3	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T2_1	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T2_2	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T2_3	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T3_1	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T3_2	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_5_T3_3	SR_5	The_Point	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_6_T1_1	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T1_2	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T1_3	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T2_1	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T2_2	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T2_3	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T3_1	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T3_2	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_6_T3_3	SR_6	5Boro_XeroFlor_3	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2011	2009-2012
SR_7_T1_1	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T1_2	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T1_3	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T2_1	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T2_2	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T2_3	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T3_1	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T3_2	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_7_T3_3	SR_7	5Boro_XeroFlor_2	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2009	2009-2012
SR_8_T1_1	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T1_2	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T1_3	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T2_1	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T2_2	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T2_3	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T3_1	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T3_2	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_8_T3_3	SR_8	Jackson_Ave	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2016	2013-2017
SR_9_T1_1	SR_9	W11_Street	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_9_T1_2	SR_9	W11_Street	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_9_T1_3	SR_9	W11_Street	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_9_T2_3	SR_9	W11_Street	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_9_T3_1	SR_9	W11_Street	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_9_T3_2	SR_9	W11_Street	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
SR_9_T3_3	SR_9	W11_Street	Sedum	Sedum sp.	Sedum	Crassulaceae	Succulent	2013	2013-2017
MR_19_P2	MR_19	Wild_Project	Mixed_vegetation	Solidago juncea	Solidago	Asteraceae	Forb	2007	2004-2008
MR_19_P4	MR_19	Wild_Project	Mixed_vegetation	Solidago juncea	Solidago	Asteraceae	Forb	2007	2004-2008
MR_9_P2	MR_9	Rockaways	Mixed_vegetation	Sporobolus sp.	Sporobolus	Poaceae	Grass	2016	2013-2017
MR_9_P3	MR_9	Rockaways	Mixed_vegetation	Sporobolus sp.	Sporobolus	Poaceae	Grass	2016	2013-2017
MR_15_P8	MR_15	BK_Grange_LIC	Mixed_vegetation	Unknown		Asteraceae	Forb	2010	2009-2012
MR_16_T2_2	MR_16	Grand_Street	Mixed_vegetation	Unknown		Asteraceae	Forb	2004	2004-2008
